#,ML#,St,PT,Address,Zip Code ,Town,Sub Type,List Price,$,Deposit,Date Available,Beds Total,Heated SF /GBA,Sold Price,Agent Name,Office,Property_ID,Is_Duplicate,Heated SF,Year,Month,Day of Week,Season,Full Address,Price_Per_SF,Price_to_Deposit_Ratio,Price_Difference,Days_From_Month_Start,Price_Error,SF_Error,Beds_Error,Year_Month
1001,1210447,L,RNT,1041 Sara Beth  St ,72727,Elkins,Single Family,1450,,1450.0,2022-02-21,3,1336,1450.0,Diane Higgins ,MPM Group ,30,False,1336.0,2022,2,0,1,"1041 Sara Beth  St , Elkins, AR 72727",1.0853293413173652,1.0,0.0,21,False,False,False,2022-02
2001,1123652,L,RNT,2342  N Stonecrest  Dr ,72727,Elkins,Single Family,1295,,1295.0,2019-09-01,4,1914,1295.0,Jana-Wrenay Elkins ,Lindsey & Associates ,785,False,1914.0,2019,9,6,4,"2342  N Stonecrest  Dr , Elkins, AR 72727",0.6765935214211076,1.0,0.0,1,False,False,False,2019-09
2001,1082712,L,RNT,2342 Stonecrest  Dr ,72727,Elkins,Single Family,1295,,1295.0,2018-07-01,4,1914,1295.0,Jana-Wrenay Elkins ,Lindsey & Associates ,787,False,1914.0,2018,7,6,3,"2342 Stonecrest  Dr , Elkins, AR 72727",0.6765935214211076,1.0,0.0,1,False,False,False,2018-07
2001,1081461,L,RNT,2390 Stonecrest  Dr ,72727,Elkins,Single Family,1295,,1295.0,2018-06-01,4,1914,1295.0,Jana-Wrenay Elkins ,Lindsey & Associates ,825,False,1914.0,2018,6,4,3,"2390 Stonecrest  Dr , Elkins, AR 72727",0.6765935214211076,1.0,0.0,1,False,False,False,2018-06
2001,1151329,L,RNT,869 Ethan James  St ,72727,Elkins,Single Family,1300,,1300.0,2020-07-01,4,1460,1265.0,Chris Lee ,Lindsey & Associates Inc ,2325,False,1460.0,2020,7,2,3,"869 Ethan James  St , Elkins, AR 72727",0.8904109589041096,1.0,-35.0,1,False,False,False,2020-07
2001,1230449,L,RNT,959 Raspberry  St ,72727,Elkins,Single Family,1250,,1250.0,2022-10-03,3,1329,1250.0,Garry Rhodes ,Lazenby Real Estate ,2372,False,1329.0,2022,10,0,4,"959 Raspberry  St , Elkins, AR 72727",0.9405568096313017,1.0,0.0,3,False,False,False,2022-10
2001,1126330,L,RNT,898 Ethan James  St ,72727,Elkins,Single Family,1250,,1250.0,2019-09-09,4,1460,1250.0,Chris Lee ,Lindsey & Associates ,2330,False,1460.0,2019,9,0,4,"898 Ethan James  St , Elkins, AR 72727",0.8561643835616438,1.0,0.0,9,False,False,False,2019-09
2501,1137205,L,RNT,1029 Ethan James ,72727,Elkins,Single Family,1195,,1195.0,2020-01-13,4,1630,1195.0,Chris Lee ,Lindsey & Associates Inc ,23,False,1630.0,2020,1,0,1,"1029 Ethan James , Elkins, AR 72727",0.7331288343558282,1.0,0.0,13,False,False,False,2020-01
2501,1130377,L,RNT,869 Ethan James  St ,72727,Elkins,Single Family,1195,,1195.0,2019-10-18,4,1460,1195.0,Chris Lee ,Lindsey & Associates Inc ,2325,True,1460.0,2019,10,4,4,"869 Ethan James  St , Elkins, AR 72727",0.8184931506849316,1.0,0.0,18,False,False,False,2019-10
2501,1135483,L,RNT,933 Ethan James  St ,72727,Elkins,Single Family,1250,,1250.0,2019-12-15,4,1630,1150.0,Chris Lee ,Lindsey & Associates Inc ,2352,True,1630.0,2019,12,6,1,"933 Ethan James  St , Elkins, AR 72727",0.7668711656441718,1.0,-100.0,15,False,False,False,2019-12
2501,1082750,L,RNT,2375 Stonecrest  Dr ,72727,Elkins,Single Family,1295,,1295.0,2018-07-01,4,1775,1150.0,Jana-Wrenay Elkins ,Lindsey & Associates ,814,False,1775.0,2018,7,6,3,"2375 Stonecrest  Dr , Elkins, AR 72727",0.7295774647887324,1.0,-145.0,1,False,False,False,2018-07
2501,1099306,L,RNT,2329 Stonecrest ,72727,Elkins,Single Family,1100, ,1250.0,2018-12-14,4,1775,1100.0,Jana-Wrenay Elkins ,Lindsey & Associates ,778,False,1775.0,2018,12,4,1,"2329 Stonecrest , Elkins, AR 72727",0.6197183098591549,0.88,0.0,14,False,False,False,2018-12
2501,1097674,L,RNT,1302 Silver Oak  St ,72727,Elkins,Single Family,1100,,1100.0,2018-12-21,3,1639,1100.0,Shonnie Gilbreath ,McNaughton Real Estate ,215,False,1639.0,2018,12,4,1,"1302 Silver Oak  St , Elkins, AR 72727",0.6711409395973155,1.0,0.0,21,False,False,False,2018-12
2501,1132867,L,RNT,976 Maddy  St ,72727,Elkins,Single Family,1095,,1095.0,2019-12-06,4,1480,1095.0,Chris Lee ,Lindsey & Associates Inc ,2380,False,1480.0,2019,12,4,1,"976 Maddy  St , Elkins, AR 72727",0.7398648648648649,1.0,0.0,6,False,False,False,2019-12
3001,1204265,L,RNT,540 Stowers  Ave ,72727,Elkins,Single Family,1050,,1050.0,2021-12-02,3,1328,1050.0,Garry Rhodes ,Lazenby Real Estate ,2027,False,1328.0,2021,12,3,1,"540 Stowers  Ave , Elkins, AR 72727",0.7906626506024096,1.0,0.0,2,False,False,False,2021-12
3001,1191933,L,RNT,1281 Middlefork  Rd ,72727,Elkins,Single Family,1050,,1000.0,2021-08-01,3,1246,1050.0,Arlene Urquizu and Associates ,Collier & Associates ,195,False,1246.0,2021,8,6,3,"1281 Middlefork  Rd , Elkins, AR 72727",0.8426966292134831,1.05,0.0,1,False,False,False,2021-08
3001,1178548,L,RNT,1007 Raspberry  St ,72727,Elkins,Single Family,1150,,1150.0,2021-03-31,3,1363,1050.0,Garry Rhodes ,Lazenby Real Estate ,7,False,1363.0,2021,3,2,2,"1007 Raspberry  St , Elkins, AR 72727",0.8437270726338958,1.0,-100.0,31,False,False,False,2021-03
3001,1136645,L,RNT,1024 Maddy  St ,72727,Elkins,Single Family,1050,,1050.0,2020-01-07,3,1366,1050.0,Dale Kelsey ,Lindsey & Associates Inc ,20,True,1366.0,2020,1,1,1,"1024 Maddy  St , Elkins, AR 72727",0.7686676427525623,1.0,0.0,7,False,False,False,2020-01
3001,1136637,L,RNT,960 Maddy  St ,72727,Elkins,Single Family,1050,,1050.0,2020-01-07,3,1630,1050.0,Dale Kelsey ,Lindsey & Associates Inc ,2373,True,1630.0,2020,1,1,1,"960 Maddy  St , Elkins, AR 72727",0.6441717791411042,1.0,0.0,7,False,False,False,2020-01
3001,1151790,L,RNT,1055 Raspberry  St ,72727,Elkins,Single Family,1000,,1000.0,2020-07-06,3,1338,1000.0,Garry Rhodes ,Lazenby Real Estate ,38,False,1338.0,2020,7,0,3,"1055 Raspberry  St , Elkins, AR 72727",0.7473841554559043,1.0,0.0,6,False,False,False,2020-07
3001,1150527,L,RNT,565 Oakwoods  Dr ,72727,Elkins,Single Family,1000,,1000.0,2020-07-01,4,1259,1000.0,Michael Subbert ,Prestige Management & Realty ,2054,False,1259.0,2020,7,2,3,"565 Oakwoods  Dr , Elkins, AR 72727",0.7942811755361397,1.0,0.0,1,False,False,False,2020-07
3001,1134097,L,RNT,1054 Raspberry  St ,72727,Elkins,Single Family,1000,,1000.0,2019-12-09,3,1287,1000.0,Garry Rhodes ,Lazenby Real Estate ,37,False,1287.0,2019,12,0,1,"1054 Raspberry  St , Elkins, AR 72727",0.777000777000777,1.0,0.0,9,False,False,False,2019-12
3001,1143693,L,RNT,540 Stowers  Ave ,72727,Elkins,Single Family,950,,950.0,2020-03-31,3,1328,950.0,Garry Rhodes ,Lazenby Real Estate ,2027,True,1328.0,2020,3,1,2,"540 Stowers  Ave , Elkins, AR 72727",0.7153614457831325,1.0,0.0,31,False,False,False,2020-03
3001,1142353,L,RNT,959 Raspberry  St ,72727,Elkins,Single Family,950,,950.0,2020-03-12,3,1329,950.0,Garry Rhodes ,Lazenby Real Estate ,2372,True,1329.0,2020,3,3,2,"959 Raspberry  St , Elkins, AR 72727",0.7148231753197893,1.0,0.0,12,False,False,False,2020-03
3001,1136950,L,RNT,1041 Sara Beth  St ,72727,Elkins,Single Family,950,,950.0,2020-01-10,3,1400,950.0,Garry Rhodes ,Lazenby Real Estate ,31,False,1400.0,2020,1,4,1,"1041 Sara Beth  St , Elkins, AR 72727",0.6785714285714286,1.0,0.0,10,False,False,False,2020-01
3001,1111743,L,RNT,1055 Raspberry  St ,72727,Elkins,Single Family,900,,900.0,2019-04-23,3,1338,900.0,Garry Rhodes ,Lazenby Real Estate ,38,True,1338.0,2019,4,1,2,"1055 Raspberry  St , Elkins, AR 72727",0.672645739910314,1.0,0.0,23,False,False,False,2019-04
3001,1073807,L,RNT,1323 Middlefork  Rd ,72727,Elkins,Single Family,850,,850.0,2018-03-06,3,1425,850.0,Garry Rhodes ,Lazenby Real Estate ,235,False,1425.0,2018,3,1,2,"1323 Middlefork  Rd , Elkins, AR 72727",0.5964912280701754,1.0,0.0,6,False,False,False,2018-03
1,1235975,A,RNT,365 Cackling  Bnd ,72730,Farmington,Single Family,2200,,2200.0,2023-01-20,3,1800,,Brian Clark ,ABC & Associates Real Estate Company ,1448,False,1800.0,2023,1,4,1,"365 Cackling  Bnd , Farmington, AR 72730",1.2222222222222223,1.0,,20,False,False,False,2023-01
1,1235537,A,RNT,320  N Tacoma  St ,72730,Farmington,Single Family,2200,,2200.0,2022-12-21,3,2006,,Susan Prewitt ,Coldwell Banker Harris McHaney & Faucette-Rogers ,1272,False,2006.0,2022,12,2,1,"320  N Tacoma  St , Farmington, AR 72730",1.0967098703888336,1.0,,21,False,False,False,2022-12
1,1235434,A,RNT,432  N Otoe  St ,72730,Farmington,Single Family,2100,,2100.0,2022-12-19,3,2066,,Susan Prewitt ,Coldwell Banker Harris McHaney & Faucette-Rogers ,1654,False,2066.0,2022,12,0,1,"432  N Otoe  St , Farmington, AR 72730",1.016456921587609,1.0,,19,False,False,False,2022-12
1,1236009,A,RNT,44 Ridge  Dr ,72730,Farmington,Single Family,2000,,1800.0,2023-02-01,3,1673,,Ashely Joyner ,Collier & Associates ,1712,False,1673.0,2023,2,2,1,"44 Ridge  Dr , Farmington, AR 72730",1.1954572624028692,1.1111111111111112,,1,False,False,False,2023-02
1,1233888,A,RNT,303 Kinniburgh  Dr ,72730,Farmington,Single Family,1950,,1000.0,2022-11-21,3,1668,,Jeff Oxford ,Mathias Real Estate ,1139,False,1668.0,2022,11,0,4,"303 Kinniburgh  Dr , Farmington, AR 72730",1.169064748201439,1.95,,21,False,False,False,2022-11
1,1236096,A,RNT,130 Barbara  St ,72730,Farmington,Single Family,1895,,1895.0,2023-02-01,3,1469,,Dale Kelsey ,Lindsey & Associates Inc ,211,False,1469.0,2023,2,2,1,"130 Barbara  St , Farmington, AR 72730",1.28999319264806,1.0,,1,False,False,False,2023-02
1,1232893,A,RNT,111  E Alberta  St ,72730,Farmington,Single Family,1450,,,2022-11-04,3,1054,,Matthew Ver Meer ,Collier & Associates ,63,False,1054.0,2022,11,4,4,"111  E Alberta  St , Farmington, AR 72730",1.3757115749525617,,,4,False,False,False,2022-11
1,1214029,L,RNT,310 Kinniburgh  Dr ,72730,Farmington,Single Family,2250,,1500.0,2022-04-01,3,1925,2250.0,Rebecca Oxford ,Mathias Real Estate ,1207,False,1925.0,2022,4,4,2,"310 Kinniburgh  Dr , Farmington, AR 72730",1.1688311688311688,1.5,0.0,1,False,False,False,2022-04
1,1228049,L,RNT,376  W Cackling  Bnd ,72730,Farmington,Single Family,2200,,2200.0,2022-09-13,3,1800,2200.0,Jessica Diaz ,Arkansas Real Estate Group Fayetteville ,1468,False,1800.0,2022,9,1,4,"376  W Cackling  Bnd , Farmington, AR 72730",1.2222222222222223,1.0,0.0,13,False,False,False,2022-09
1,1097376,L,RNT,455  W Monterey  Pl ,72730,Farmington,Single Family,2200,,2200.0,2018-11-12,4,3775,2200.0,Tony Fransen ,Lindsey & Associates ,1824,False,3775.0,2018,11,0,4,"455  W Monterey  Pl , Farmington, AR 72730",0.5827814569536424,1.0,0.0,12,False,False,False,2018-11
1,1216347,L,RNT,450  W Tyler  Rd ,72730,Farmington,Single Family,2150,,2150.0,2022-04-28,3,1787,2150.0,Karli Jones ,Collier & Associates ,1791,False,1787.0,2022,4,3,2,"450  W Tyler  Rd , Farmington, AR 72730",1.2031337437045326,1.0,0.0,28,False,False,False,2022-04
1,1228473,L,RNT,372 Canada  Dr ,72730,Farmington,Single Family,2100,,2100.0,2022-09-15,3,1659,2100.0,Jessica Diaz ,Arkansas Real Estate Group Fayetteville ,1459,False,1659.0,2022,9,3,4,"372 Canada  Dr , Farmington, AR 72730",1.2658227848101267,1.0,0.0,15,False,False,False,2022-09
1,1226196,L,RNT,334  W Kinniburgh  Dr ,72730,Farmington,Single Family,2100,,2100.0,2022-09-05,3,1752,2100.0,Caleb Hutcherson ,Lindsey & Associates Inc ,1312,False,1752.0,2022,9,0,4,"334  W Kinniburgh  Dr , Farmington, AR 72730",1.1986301369863013,1.0,0.0,5,False,False,False,2022-09
1,1224405,L,RNT,363  W Kinniburgh  Dr ,72730,Farmington,Single Family,2100,,2100.0,2022-08-15,3,1751,2100.0,Caleb Hutcherson ,Lindsey & Associates Inc ,1445,False,1751.0,2022,8,0,3,"363  W Kinniburgh  Dr , Farmington, AR 72730",1.1993146773272416,1.0,0.0,15,False,False,False,2022-08
1,1222599,L,RNT,350  S Emerald Woods ,72730,Farmington,Single Family,2100,,2000.0,2022-07-04,3,1757,2100.0,Brian Clark ,479 Properties Realty ,1377,False,1757.0,2022,7,0,3,"350  S Emerald Woods , Farmington, AR 72730",1.1952191235059761,1.05,0.0,4,False,False,False,2022-07
1,1214701,L,RNT,10944 Windswept  Wy ,72730,Farmington,Single Family,2000,,2000.0,2022-04-05,3,1865,2050.0,Shonnie Gilbreath ,McNaughton Real Estate ,51,False,1865.0,2022,4,1,2,"10944 Windswept  Wy , Farmington, AR 72730",1.0723860589812333,1.0,50.0,5,False,False,False,2022-04
1,1235203,L,RNT,338 Canada ,72730,Farmington,Single Family,1950,,1950.0,2022-12-14,3,1587,2000.0,Kathryn Babcock ,Arkansas Real Estate Group Fayetteville ,1323,False,1587.0,2022,12,2,1,"338 Canada , Farmington, AR 72730",1.2287334593572778,1.0,50.0,14,False,False,False,2022-12
1,1211202,L,RNT,335  W Tyler  Rd ,72730,Farmington,Single Family,1600,,1700.0,2022-03-04,3,1408,2000.0,Shonnie Gilbreath ,McNaughton Real Estate ,1316,False,1408.0,2022,3,4,2,"335  W Tyler  Rd , Farmington, AR 72730",1.1363636363636365,0.9411764705882353,400.0,4,False,False,False,2022-03
1,1232898,L,RNT,11576  N Club House  Pkwy ,72730,Farmington,Single Family,1995,,,2022-11-04,4,1920,1995.0,NWA ProTeam ,NextHome NWA Pro Realty ,99,False,1920.0,2022,11,4,4,"11576  N Club House  Pkwy , Farmington, AR 72730",1.0390625,,0.0,4,False,False,False,2022-11
1,1226984,L,RNT,554  N Goose Crossing ,72730,Farmington,Single Family,1995,,1995.0,2022-08-15,4,1812,1995.0,Joseph Terrien ,Blue Canopy Realty ,2044,False,1812.0,2022,8,0,3,"554  N Goose Crossing , Farmington, AR 72730",1.1009933774834437,1.0,0.0,15,False,False,False,2022-08
1,1183744,L,RNT,11103 Bear  Dr ,72730,Farmington,Single Family,1995,,1995.0,2021-07-01,3,2184,1995.0,Dale Kelsey ,Lindsey & Associates Inc ,64,False,2184.0,2021,7,3,3,"11103 Bear  Dr , Farmington, AR 72730",0.9134615384615384,1.0,0.0,1,False,False,False,2021-07
1,1235204,L,RNT,412 Cackling  Bnd ,72730,Farmington,Single Family,1950,,1950.0,2022-12-14,3,1587,1975.0,Kathryn Babcock ,Arkansas Real Estate Group Fayetteville ,1579,False,1587.0,2022,12,2,1,"412 Cackling  Bnd , Farmington, AR 72730",1.2287334593572778,1.0,25.0,14,False,False,False,2022-12
1,1187927,L,RNT,481  N Yona  Ln ,72730,Farmington,Single Family,1900,,1900.0,2021-07-01,3,1812,1970.0,Erica Huie ,Arkansas Real Estate Group Fayetteville ,1902,False,1812.0,2021,7,3,3,"481  N Yona  Ln , Farmington, AR 72730",1.0485651214128036,1.0,70.0,1,False,False,False,2021-07
1,1227230,L,RNT,426  W Tyler  Rd ,72730,Farmington,Single Family,1950,,1950.0,2022-08-31,3,1757,1950.0,Brian Clark ,ABC & Associates Real Estate Company ,1629,False,1757.0,2022,8,2,3,"426  W Tyler  Rd , Farmington, AR 72730",1.109846328969835,1.0,0.0,31,False,False,False,2022-08
1,1227004,L,RNT,561  N Goose Crossing ,72730,Farmington,Single Family,1950,,1950.0,2022-08-15,4,1676,1950.0,Joseph Terrien ,Blue Canopy Realty ,2046,False,1676.0,2022,8,0,3,"561  N Goose Crossing , Farmington, AR 72730",1.1634844868735084,1.0,0.0,15,False,False,False,2022-08
1,1215515,L,RNT,303 Kinniburgh  Dr ,72730,Farmington,Single Family,1950,,1000.0,2022-04-18,3,1668,1950.0,Rebecca Oxford ,Mathias Real Estate ,1139,True,1668.0,2022,4,0,2,"303 Kinniburgh  Dr , Farmington, AR 72730",1.169064748201439,1.95,0.0,18,False,False,False,2022-04
1,1216557,L,RNT,256  S Nightfall  Ave ,72730,Farmington,Single Family,1895,,1895.0,2022-05-01,3,1659,1920.0,Karli Jones ,Collier & Associates ,898,False,1659.0,2022,5,6,2,"256  S Nightfall  Ave , Farmington, AR 72730",1.1422543701024714,1.0,25.0,1,False,False,False,2022-05
1,1222894,L,RNT,501  N Yona  Ln ,72730,Farmington,Single Family,1900,,1900.0,2022-08-01,4,1676,1900.0,Briana Ruff ,Lindsey & Associates Inc ,1942,False,1676.0,2022,8,0,3,"501  N Yona  Ln , Farmington, AR 72730",1.1336515513126493,1.0,0.0,1,False,False,False,2022-08
1,1216020,L,RNT,371  W Tyler  Rd ,72730,Farmington,Single Family,1850,,1850.0,2022-04-21,3,1669,1900.0,Shonnie Gilbreath ,McNaughton Real Estate ,1454,False,1669.0,2022,4,3,2,"371  W Tyler  Rd , Farmington, AR 72730",1.1084481725584183,1.0,50.0,21,False,False,False,2022-04
1,1216016,L,RNT,205 Amber Dawn  Ave ,72730,Farmington,Single Family,1900,,1900.0,2022-04-21,3,1536,1900.0,Shonnie Gilbreath ,McNaughton Real Estate ,668,False,1536.0,2022,4,3,2,"205 Amber Dawn  Ave , Farmington, AR 72730",1.2369791666666667,1.0,0.0,21,False,False,False,2022-04
1,1188953,L,RNT,343  N Taverner  Ln ,72730,Farmington,Single Family,1900,,1900.0,2021-07-15,3,1812,1900.0,Erica Huie ,Arkansas Real Estate Group Fayetteville ,1342,False,1812.0,2021,7,3,3,"343  N Taverner  Ln , Farmington, AR 72730",1.0485651214128036,1.0,0.0,15,False,False,False,2021-07
1,1133460,L,RNT,145  W Rosemeade  Dr ,72730,Farmington,Single Family,1900,,1900.0,2019-11-25,4,2214,1900.0,The Property Management Team ,Berkshire Hathaway HomeServices Solutions Real Est ,328,False,2214.0,2019,11,0,4,"145  W Rosemeade  Dr , Farmington, AR 72730",0.8581752484191508,1.0,0.0,25,False,False,False,2019-11
1,1209102,L,RNT,328  W Tyler  Rd ,72730,Farmington,Single Family,1850,,2100.0,2022-02-02,3,1757,1875.0,Shonnie Gilbreath ,McNaughton Real Estate ,1298,False,1757.0,2022,2,2,1,"328  W Tyler  Rd , Farmington, AR 72730",1.0529311326124076,0.8809523809523809,25.0,2,False,False,False,2022-02
501,1230080,L,RNT,11151 Club House  Pkwy ,72730,Farmington,Single Family,1800,,1800.0,2022-09-28,4,1819,1800.0,Larry Marion ,"Bassett Mix And Associates, Inc ",66,False,1819.0,2022,9,2,4,"11151 Club House  Pkwy , Farmington, AR 72730",0.9895547003848268,1.0,0.0,28,False,False,False,2022-09
501,1227600,L,RNT,320 Canada  Dr ,72730,Farmington,Single Family,1800,,1800.0,2022-08-25,3,1613,1800.0,Amber Squires ,Lindsey & Associates Inc ,1274,False,1613.0,2022,8,3,3,"320 Canada  Dr , Farmington, AR 72730",1.115933044017359,1.0,0.0,25,False,False,False,2022-08
501,1220936,L,RNT,220 Nightfall  Ave ,72730,Farmington,Single Family,1800,,1800.0,2022-06-08,3,1463,1800.0,Shonnie Gilbreath ,McNaughton Real Estate ,725,False,1463.0,2022,6,2,3,"220 Nightfall  Ave , Farmington, AR 72730",1.2303485987696514,1.0,0.0,8,False,False,False,2022-06
501,1216957,L,RNT,233  S Nightfall  Ave ,72730,Farmington,Single Family,1800,,1800.0,2022-05-03,3,1445,1800.0,Shonnie Gilbreath ,McNaughton Real Estate ,779,False,1445.0,2022,5,1,2,"233  S Nightfall  Ave , Farmington, AR 72730",1.245674740484429,1.0,0.0,3,False,False,False,2022-05
501,1216019,L,RNT,227  S Nightfall  Ave ,72730,Farmington,Single Family,1800,,1800.0,2022-04-21,3,1463,1800.0,Shonnie Gilbreath ,McNaughton Real Estate ,752,False,1463.0,2022,4,3,2,"227  S Nightfall  Ave , Farmington, AR 72730",1.2303485987696514,1.0,0.0,21,False,False,False,2022-04
501,1205436,L,RNT,427  W Tyler  Rd ,72730,Farmington,Single Family,1800,,1800.0,2021-12-20,3,1659,1800.0,Brooke Hurst ,Collier & Associates ,1632,False,1659.0,2021,12,0,1,"427  W Tyler  Rd , Farmington, AR 72730",1.0849909584086799,1.0,0.0,20,False,False,False,2021-12
501,1198370,L,RNT,336  W Taverner Xing ,72730,Farmington,Single Family,1800,,,2021-09-21,3,1746,1800.0,Briana Ruff ,Lindsey & Associates Inc ,1320,False,1746.0,2021,9,1,4,"336  W Taverner Xing , Farmington, AR 72730",1.0309278350515463,,0.0,21,False,False,False,2021-09
501,1202258,L,RNT,403 Otoe  St ,72730,Farmington,Single Family,1795,,1000.0,2021-11-22,4,1617,1795.0,Ronnie Davidson ,"NWA Realty and Property Management, LLC ",1543,False,1617.0,2021,11,0,4,"403 Otoe  St , Farmington, AR 72730",1.1100803957946814,1.795,0.0,22,False,False,False,2021-11
501,1220971,L,RNT,215 Nightfall  Ave ,72730,Farmington,Single Family,1750,,1725.0,2022-06-08,3,1408,1750.0,Shonnie Gilbreath ,McNaughton Real Estate ,715,False,1408.0,2022,6,2,3,"215 Nightfall  Ave , Farmington, AR 72730",1.2428977272727273,1.0144927536231885,0.0,8,False,False,False,2022-06
501,1187996,L,RNT,501  N Yona  Ln ,72730,Farmington,Single Family,1750,,1750.0,2021-06-15,4,1676,1750.0,Briana Ruff ,Lindsey & Associates Inc ,1942,True,1676.0,2021,6,1,3,"501  N Yona  Ln , Farmington, AR 72730",1.0441527446300716,1.0,0.0,15,False,False,False,2021-06
501,1228165,L,RNT,347  W Tyler  Rd ,72730,Farmington,Single Family,1725,,1725.0,2022-08-30,3,1408,1725.0,Shonnie Gilbreath ,McNaughton Real Estate ,1365,False,1408.0,2022,8,1,3,"347  W Tyler  Rd , Farmington, AR 72730",1.2251420454545454,1.0,0.0,30,False,False,False,2022-08
501,1208470,L,RNT,347  W Tyler  Rd ,72730,Farmington,Single Family,1650,,1650.0,2022-01-24,3,1408,1725.0,Shonnie Gilbreath ,McNaughton Real Estate ,1365,True,1408.0,2022,1,0,1,"347  W Tyler  Rd , Farmington, AR 72730",1.171875,1.0,75.0,24,False,False,False,2022-01
501,1190661,L,RNT,489  N Yona  Ln ,72730,Farmington,Single Family,1725,,1725.0,2021-07-01,3,1600,1725.0,Briana Ruff ,Lindsey & Associates Inc ,1919,False,1600.0,2021,7,3,3,"489  N Yona  Ln , Farmington, AR 72730",1.078125,1.0,0.0,1,False,False,False,2021-07
501,1232796,L,RNT,428 Concho  St ,72730,Farmington,Single Family,1700,,1700.0,2022-11-07,3,1487,1700.0,Blake Smith ,Lindsey & Associates Inc ,1634,False,1487.0,2022,11,0,4,"428 Concho  St , Farmington, AR 72730",1.1432414256893073,1.0,0.0,7,False,False,False,2022-11
501,1231009,L,RNT,456 Concho  St ,72730,Farmington,Single Family,1700,,1700.0,2022-10-11,3,1484,1700.0,Blake Smith ,Lindsey & Associates Inc ,1828,False,1484.0,2022,10,1,4,"456 Concho  St , Farmington, AR 72730",1.1455525606469004,1.0,0.0,11,False,False,False,2022-10
